match_dir,M,p,lam,seed,avg_group_coop,avg_group_reward,avg_obs_group_coop,final_B_eff,final_obs_coop_mean,final_streak
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,2,0.0,0.0,101,0.8,0.8,0.8,2.0,0.8,50
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.30__s101,2,0.0,0.3,101,0.8,1.241768720465945,0.8,2.599999996310144,0.8,50
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.60__s101,2,0.0,0.6,101,0.8,1.6835374409318902,0.8,3.1999999926202882,0.8,50
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.10__l0.00__s101,2,0.1,0.0,101,0.264,0.264,0.312,2.0,0.2,0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.10__l0.30__s101,2,0.1,0.3,101,0.264,0.2785487303927986,0.312,2.0,0.2,0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.10__l0.60__s101,2,0.1,0.6,101,0.264,0.2930974607855971,0.312,2.0,0.2,0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.00__s101,2,0.2,0.0,101,0.26,0.26,0.3,2.0,0.0,0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.30__s101,2,0.2,0.3,101,0.26,0.26984114405633414,0.3,2.0,0.0,0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.60__s101,2,0.2,0.6,101,0.26,0.2796822881126683,0.3,2.0,0.0,0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.00__s101,3,0.0,0.0,101,0.8,0.8,0.8,2.0,0.8,50
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.30__s101,3,0.0,0.3,101,0.8,1.241768720465945,0.8,2.599999996310144,0.8,50
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.60__s101,3,0.0,0.6,101,0.8,1.6835374409318902,0.8,3.1999999926202882,0.8,50
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.00__s101,3,0.1,0.0,101,0.49,0.49,0.498,2.0,0.4,0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.30__s101,3,0.1,0.3,101,0.494,0.5164417853334732,0.5,2.0,0.4,0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.60__s101,3,0.1,0.6,101,0.494,0.5388835706669463,0.5,2.0,0.4,0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.00__s101,3,0.2,0.0,101,0.47,0.47,0.454,2.0,0.3,0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.30__s101,3,0.2,0.3,101,0.468,0.4794102866770559,0.452,2.0,0.3,0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.60__s101,3,0.2,0.6,101,0.458,0.48271537642827084,0.45,2.0,0.3,0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.00__s101,5,0.0,0.0,101,0.653,0.653,0.653,2.0,0.65,50
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.30__s101,5,0.0,0.3,101,0.653,1.0119370853785803,0.653,2.599999996310144,0.65,50
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.60__s101,5,0.0,0.6,101,0.653,1.3708741707571608,0.653,3.1999999926202882,0.65,50
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.00__s101,5,0.1,0.0,101,0.461,0.461,0.469,2.0,0.45,0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.30__s101,5,0.1,0.3,101,0.434,0.4434445940218621,0.445,2.0,0.35,0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.10__l0.60__s101,5,0.1,0.6,101,0.422,0.44065233765945433,0.435,2.0,0.35,0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.20__l0.00__s101,5,0.2,0.0,101,0.454,0.454,0.449,2.0,0.15,0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.20__l0.30__s101,5,0.2,0.3,101,0.432,0.4367370076853977,0.429,2.0,0.15,0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.20__l0.60__s101,5,0.2,0.6,101,0.439,0.44800031460225564,0.433,2.0,0.15,0
