match_dir,M,p,lam,seed,seat,agent,kind,mean_coop,mean_reward,total_reward,switch_rate,gtft_match_rate,final_action,final_coop
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.00__l0.00__s101,2,0.0,0.0,101,0,always_cooperate,deterministic,1.0,0.5,25.0,0.0,1.0,0,1.0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.00__l0.00__s101,2,0.0,0.0,101,1,always_defect,deterministic,0.0,2.0,100.0,0.0,0.0,1,0.0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.00__l0.00__s101,2,0.0,0.0,101,2,graded_tft,deterministic,1.0,0.5,25.0,0.0,1.0,0,1.0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.00__l0.00__s101,2,0.0,0.0,101,3,deepseek_v3_0324,llm,1.0,0.5,25.0,0.0,1.0,0,1.0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.00__l0.00__s101,2,0.0,0.0,101,4,claude_haiku,llm,1.0,0.5,25.0,0.0,1.0,0,1.0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.00__l0.30__s101,2,0.0,0.3,101,0,always_cooperate,deterministic,1.0,0.9141581754368235,45.707908771841176,0.0,1.0,0,1.0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.00__l0.30__s101,2,0.0,0.3,101,1,always_defect,deterministic,0.0,2.5522109005824314,127.61054502912157,0.0,0.0,1,0.0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.00__l0.30__s101,2,0.0,0.3,101,2,graded_tft,deterministic,1.0,0.9141581754368235,45.707908771841176,0.0,1.0,0,1.0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.00__l0.30__s101,2,0.0,0.3,101,3,deepseek_v3_0324,llm,1.0,0.9141581754368235,45.707908771841176,0.0,1.0,0,1.0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.00__l0.30__s101,2,0.0,0.3,101,4,claude_haiku,llm,1.0,0.9141581754368235,45.707908771841176,0.0,1.0,0,1.0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.00__l0.60__s101,2,0.0,0.6,101,0,always_cooperate,deterministic,1.0,1.328316350873647,66.41581754368235,0.0,1.0,0,1.0
